time,births_number[number]
2000-03-01 12:00:00.000000,7639
2000-06-01 12:00:00.000000,7365
2000-09-01 12:00:00.000000,7174
2000-12-01 12:00:00.000000,6979
2001-03-01 12:00:00.000000,7496
2001-06-01 12:00:00.000000,7101
2001-09-01 12:00:00.000000,6873
2001-12-01 12:00:00.000000,6863
2002-03-01 12:00:00.000000,6891
2002-06-01 12:00:00.000000,6713
2002-09-01 12:00:00.000000,7061
2002-12-01 12:00:00.000000,6912
2003-03-01 12:00:00.000000,7425
2003-06-01 12:00:00.000000,6881
2003-09-01 12:00:00.000000,7125
2003-12-01 12:00:00.000000,7389
2004-03-01 12:00:00.000000,7650
2004-06-01 12:00:00.000000,7383
2004-09-01 12:00:00.000000,7505
2004-12-01 12:00:00.000000,7206
2005-03-01 12:00:00.000000,7499
2005-06-01 12:00:00.000000,7509
2005-09-01 12:00:00.000000,7281
2005-12-01 12:00:00.000000,7257
2006-03-01 12:00:00.000000,7800
2006-06-01 12:00:00.000000,7492
2006-09-01 12:00:00.000000,7631
2006-12-01 12:00:00.000000,7317
2007-03-01 12:00:00.000000,8602
2007-06-01 12:00:00.000000,8093
2007-09-01 12:00:00.000000,8068
2007-12-01 12:00:00.000000,8250
2008-03-01 12:00:00.000000,7948
2008-06-01 12:00:00.000000,8597
2008-09-01 12:00:00.000000,8262
2008-12-01 12:00:00.000000,8295
2009-03-01 12:00:00.000000,8092
2009-06-01 12:00:00.000000,8019
2009-09-01 12:00:00.000000,8264
2009-12-01 12:00:00.000000,7737
2010-03-01 12:00:00.000000,8756
2010-06-01 12:00:00.000000,8107
2010-09-01 12:00:00.000000,8084
2010-12-01 12:00:00.000000,7957
2011-03-01 12:00:00.000000,8370
2011-06-01 12:00:00.000000,7676
2011-09-01 12:00:00.000000,7961
2011-12-01 12:00:00.000000,7469
2012-03-01 12:00:00.000000,8027
2012-06-01 12:00:00.000000,7804
2012-09-01 12:00:00.000000,7639
2012-12-01 12:00:00.000000,7773
